name,height,weight,reach,stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,10-Oct-89,0.79,0.5,5.26,0.23,0,0,0,0
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,4-Sep-94,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,15-Apr-83,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,18-May-98,5.21,0.52,3,0.5,1.44,0.4,0.8,0.2
Yohan Banks,,,,,,0,0,0,0,0,0,0,0
Junior Barata,"5' 10""",170 lbs.,,Orthodox,25-Jan-82,4.03,0.33,8.46,0.34,0,0,0,0
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,23-Sep-79,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,3-May-89,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,31-Jan-87,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5
Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,21-Jan-86,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1
Nick Barnes,"5' 11""",170 lbs.,,,,2.86,0.29,8.93,0.51,5.36,1,1,5.4
James Barnes,"5' 8""",145 lbs.,,,,0,0,0,0,0,0,0,0
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,1-May-87,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,13-Apr-88,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4
Chris Barnhizer,,,,,,0,0,0,0,0,0,0,0
David Baron,"5' 6""",155 lbs.,,Switch,15-Feb-73,1.17,0.3,2.1,0.56,0,0,0.14,0.7
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,16-Apr-76,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,10-Nov-77,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4
Carlos Barreto,"6' 4""",230 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Jose Barreto,,185 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,23-Dec-80,0.8,0.7,1.2,0.28,1,0.08,0,0
Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,10-Aug-86,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0
David Barrios,"5' 6""",145 lbs.,,,,0,0,0,0,0,0,0,0
Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,18-Feb-90,4.25,0.46,4.12,0.57,0.55,0.28,0.69,0
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,19-Nov-76,0.98,0.4,4.05,0.36,1.84,0.5,1,0
